SELECT derivative(last("read_bytes"), 1s)/1024/1024 AS "read_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031161s AND time <= 1559031191s GROUP BY time(1s), "host" FILL(null)
name,tags,time,read_bytes
diskio,host=host-192-168-5-3,1559031162000000000,412
diskio,host=host-192-168-5-3,1559031163000000000,425
diskio,host=host-192-168-5-3,1559031164000000000,419
diskio,host=host-192-168-5-3,1559031165000000000,425
diskio,host=host-192-168-5-3,1559031166000000000,420
diskio,host=host-192-168-5-3,1559031167000000000,394
diskio,host=host-192-168-5-3,1559031168000000000,332
diskio,host=host-192-168-5-3,1559031169000000000,383
diskio,host=host-192-168-5-3,1559031170000000000,390
diskio,host=host-192-168-5-3,1559031171000000000,401
diskio,host=host-192-168-5-3,1559031172000000000,416
diskio,host=host-192-168-5-3,1559031173000000000,346
diskio,host=host-192-168-5-3,1559031174000000000,341
diskio,host=host-192-168-5-3,1559031175000000000,422
diskio,host=host-192-168-5-3,1559031176000000000,416
diskio,host=host-192-168-5-3,1559031177000000000,411
diskio,host=host-192-168-5-3,1559031178000000000,400
diskio,host=host-192-168-5-3,1559031179000000000,418
diskio,host=host-192-168-5-3,1559031180000000000,419
diskio,host=host-192-168-5-3,1559031181000000000,420
diskio,host=host-192-168-5-3,1559031182000000000,420
diskio,host=host-192-168-5-3,1559031183000000000,423
diskio,host=host-192-168-5-3,1559031184000000000,412
diskio,host=host-192-168-5-3,1559031185000000000,425
diskio,host=host-192-168-5-3,1559031186000000000,412
diskio,host=host-192-168-5-3,1559031187000000000,106
diskio,host=host-192-168-5-3,1559031188000000000,0
diskio,host=host-192-168-5-3,1559031189000000000,0
diskio,host=host-192-168-5-3,1559031190000000000,0
diskio,host=host-192-168-5-3,1559031191000000000,0
