SELECT derivative(last("write_bytes"), 1s)/1024/1024 AS "write_bytes" FROM "telegraf"."autogen"."diskio" WHERE time >= 1559031889s AND time <= 1559031919s GROUP BY time(1s), "host" FILL(null)
name,tags,time,write_bytes
diskio,host=host-192-168-5-3,1559031890000000000,152.00390625
diskio,host=host-192-168-5-3,1559031891000000000,150
diskio,host=host-192-168-5-3,1559031892000000000,152
diskio,host=host-192-168-5-3,1559031893000000000,153
diskio,host=host-192-168-5-3,1559031894000000000,155.08984375
diskio,host=host-192-168-5-3,1559031895000000000,151
diskio,host=host-192-168-5-3,1559031896000000000,155
diskio,host=host-192-168-5-3,1559031897000000000,153
diskio,host=host-192-168-5-3,1559031898000000000,151
diskio,host=host-192-168-5-3,1559031899000000000,151.05078125
diskio,host=host-192-168-5-3,1559031900000000000,152
diskio,host=host-192-168-5-3,1559031901000000000,152
diskio,host=host-192-168-5-3,1559031902000000000,152
diskio,host=host-192-168-5-3,1559031903000000000,153
diskio,host=host-192-168-5-3,1559031904000000000,153.05078125
diskio,host=host-192-168-5-3,1559031905000000000,152.34765625
diskio,host=host-192-168-5-3,1559031906000000000,152
diskio,host=host-192-168-5-3,1559031907000000000,151
diskio,host=host-192-168-5-3,1559031908000000000,151
diskio,host=host-192-168-5-3,1559031909000000000,151.0703125
diskio,host=host-192-168-5-3,1559031910000000000,152.04296875
diskio,host=host-192-168-5-3,1559031911000000000,152
diskio,host=host-192-168-5-3,1559031912000000000,151.01171875
diskio,host=host-192-168-5-3,1559031913000000000,155
diskio,host=host-192-168-5-3,1559031914000000000,154.0859375
diskio,host=host-192-168-5-3,1559031915000000000,153
diskio,host=host-192-168-5-3,1559031916000000000,152
diskio,host=host-192-168-5-3,1559031917000000000,153
diskio,host=host-192-168-5-3,1559031918000000000,152
diskio,host=host-192-168-5-3,1559031919000000000,151.0546875
