SELECT derivative(last("bytes_recv"), 1s) /1024/1024  + derivative(last("bytes_sent"), 1s) /1024/1024  AS "net" FROM "telegraf"."autogen"."net" WHERE time >= 1559035739s AND time <= 1559035789s GROUP BY time(1s), "host" FILL(null)
name,tags,time,net
net,host=host-192-168-5-3,1559035740000000000,245.17033004760742
net,host=host-192-168-5-3,1559035741000000000,295.8898582458496
net,host=host-192-168-5-3,1559035742000000000,285.368350982666
net,host=host-192-168-5-3,1559035743000000000,221.73893928527832
net,host=host-192-168-5-3,1559035744000000000,266.3587236404419
net,host=host-192-168-5-3,1559035745000000000,184.91048431396484
net,host=host-192-168-5-3,1559035746000000000,324.6280879974365
net,host=host-192-168-5-3,1559035747000000000,313.5167770385742
net,host=host-192-168-5-3,1559035748000000000,325.09663677215576
net,host=host-192-168-5-3,1559035749000000000,277.7073564529419
net,host=host-192-168-5-3,1559035750000000000,304.2680358886719
net,host=host-192-168-5-3,1559035751000000000,295.8332996368408
net,host=host-192-168-5-3,1559035752000000000,320.00289821624756
net,host=host-192-168-5-3,1559035753000000000,229.5321683883667
net,host=host-192-168-5-3,1559035754000000000,287.1193838119507
net,host=host-192-168-5-3,1559035755000000000,282.1006965637207
net,host=host-192-168-5-3,1559035756000000000,257.1614923477173
net,host=host-192-168-5-3,1559035757000000000,326.626877784729
net,host=host-192-168-5-3,1559035758000000000,285.1321105957031
net,host=host-192-168-5-3,1559035759000000000,288.6093463897705
net,host=host-192-168-5-3,1559035760000000000,296.8197956085205
net,host=host-192-168-5-3,1559035761000000000,301.69290828704834
net,host=host-192-168-5-3,1559035762000000000,276.9113712310791
net,host=host-192-168-5-3,1559035763000000000,293.48140048980713
net,host=host-192-168-5-3,1559035764000000000,305.99165439605713
net,host=host-192-168-5-3,1559035765000000000,335.6235408782959
net,host=host-192-168-5-3,1559035766000000000,281.10887241363525
net,host=host-192-168-5-3,1559035767000000000,340.84511375427246
net,host=host-192-168-5-3,1559035768000000000,319.41067695617676
net,host=host-192-168-5-3,1559035769000000000,261.57371044158936
net,host=host-192-168-5-3,1559035770000000000,309.0709619522095
net,host=host-192-168-5-3,1559035771000000000,285.98260593414307
net,host=host-192-168-5-3,1559035772000000000,284.93802070617676
net,host=host-192-168-5-3,1559035773000000000,282.1327819824219
net,host=host-192-168-5-3,1559035774000000000,265.59135150909424
net,host=host-192-168-5-3,1559035775000000000,114.008620262146
net,host=host-192-168-5-3,1559035776000000000,0.012728691101074219
net,host=host-192-168-5-3,1559035777000000000,0.01663494110107422
net,host=host-192-168-5-3,1559035778000000000,0.010272979736328125
net,host=host-192-168-5-3,1559035779000000000,0.017821311950683594
net,host=host-192-168-5-3,1559035780000000000,0.01422882080078125
net,host=host-192-168-5-3,1559035781000000000,0.015505790710449219
net,host=host-192-168-5-3,1559035782000000000,0.012701988220214844
net,host=host-192-168-5-3,1559035783000000000,0.015569686889648438
net,host=host-192-168-5-3,1559035784000000000,0.011462211608886719
net,host=host-192-168-5-3,1559035785000000000,0.018100738525390625
net,host=host-192-168-5-3,1559035786000000000,0.01367950439453125
net,host=host-192-168-5-3,1559035787000000000,0.015414237976074219
net,host=host-192-168-5-3,1559035788000000000,0.017767906188964844
net,host=host-192-168-5-3,1559035789000000000,0.012642860412597656
