SELECT sum("cpu_total") AS "sum_cpu_total" FROM ( SELECT mean("cpu_total") AS "cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537206s AND time <= 1584537276s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537206000000000,10
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537207000000000,3
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537208000000000,3
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537209000000000,0
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537210000000000,2
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537211000000000,21
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537212000000000,21
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537213000000000,66
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537214000000000,74
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537215000000000,66
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537216000000000,66
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537217000000000,57
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537218000000000,73
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537219000000000,73
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537220000000000,79
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537221000000000,79
kvmtop.domains,UUID=2d891541-a416-43e5-9f12-e18b1252ca62,1584537222000000000,76
