SELECT mean("cpu_steal") AS "mean_cpu_steal" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537325s AND time <= 1584537395s GROUP BY time(1s) FILL(null)
name,time,mean_cpu_steal
kvmtop.domains,1584537325000000000,0
kvmtop.domains,1584537326000000000,0
kvmtop.domains,1584537327000000000,0
kvmtop.domains,1584537328000000000,0
kvmtop.domains,1584537329000000000,0
kvmtop.domains,1584537330000000000,0
kvmtop.domains,1584537331000000000,0.4
kvmtop.domains,1584537332000000000,5.6
kvmtop.domains,1584537333000000000,12
kvmtop.domains,1584537334000000000,17.2
kvmtop.domains,1584537335000000000,20.6
kvmtop.domains,1584537336000000000,21.2
kvmtop.domains,1584537337000000000,25.4
kvmtop.domains,1584537338000000000,21.6
kvmtop.domains,1584537339000000000,24.2
kvmtop.domains,1584537340000000000,23.2
kvmtop.domains,1584537341000000000,22.8
kvmtop.domains,1584537342000000000,21.2
kvmtop.domains,1584537343000000000,23.4
kvmtop.domains,1584537344000000000,25
kvmtop.domains,1584537345000000000,22.8
kvmtop.domains,1584537346000000000,22
kvmtop.domains,1584537347000000000,24.2
kvmtop.domains,1584537348000000000,21.2
kvmtop.domains,1584537349000000000,21.2
kvmtop.domains,1584537350000000000,21.2
kvmtop.domains,1584537351000000000,22.4
kvmtop.domains,1584537352000000000,24.4
kvmtop.domains,1584537353000000000,27.6
kvmtop.domains,1584537354000000000,25.2
kvmtop.domains,1584537355000000000,23.4
kvmtop.domains,1584537356000000000,22.6
kvmtop.domains,1584537357000000000,22.8
kvmtop.domains,1584537358000000000,23
kvmtop.domains,1584537359000000000,23
kvmtop.domains,1584537360000000000,21.6
kvmtop.domains,1584537361000000000,21.6
kvmtop.domains,1584537362000000000,22.8
kvmtop.domains,1584537363000000000,21.4
kvmtop.domains,1584537364000000000,22.6
kvmtop.domains,1584537365000000000,22.8
kvmtop.domains,1584537366000000000,22.6
kvmtop.domains,1584537367000000000,24.2
kvmtop.domains,1584537368000000000,19.2
kvmtop.domains,1584537369000000000,20.8
kvmtop.domains,1584537370000000000,
kvmtop.domains,1584537371000000000,21
kvmtop.domains,1584537372000000000,21.4
kvmtop.domains,1584537373000000000,21
kvmtop.domains,1584537374000000000,22
kvmtop.domains,1584537375000000000,24
kvmtop.domains,1584537376000000000,19.4
kvmtop.domains,1584537377000000000,19.4
kvmtop.domains,1584537378000000000,21.2
kvmtop.domains,1584537379000000000,20.2
kvmtop.domains,1584537380000000000,20.4
kvmtop.domains,1584537381000000000,20.2
kvmtop.domains,1584537382000000000,19.4
kvmtop.domains,1584537383000000000,18.4
kvmtop.domains,1584537384000000000,18.4
kvmtop.domains,1584537385000000000,18.6
kvmtop.domains,1584537386000000000,18.6
kvmtop.domains,1584537387000000000,19
kvmtop.domains,1584537388000000000,18.8
kvmtop.domains,1584537389000000000,18.4
kvmtop.domains,1584537390000000000,20.4
kvmtop.domains,1584537391000000000,18
kvmtop.domains,1584537392000000000,0.6
kvmtop.domains,1584537393000000000,0
kvmtop.domains,1584537394000000000,0
kvmtop.domains,1584537395000000000,
