SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584551821s AND time <= 1584551896s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584551821000000000,0
kvmtop.hosts,1584551822000000000,0
kvmtop.hosts,1584551823000000000,0
kvmtop.hosts,1584551824000000000,0
kvmtop.hosts,1584551825000000000,2
kvmtop.hosts,1584551828000000000,3
kvmtop.hosts,1584551830000000000,3
kvmtop.hosts,1584551831000000000,3
kvmtop.hosts,1584551833000000000,3
kvmtop.hosts,1584551834000000000,2
kvmtop.hosts,1584551835000000000,3
kvmtop.hosts,1584551836000000000,3
kvmtop.hosts,1584551838000000000,3
kvmtop.hosts,1584551840000000000,2
kvmtop.hosts,1584551841000000000,3
kvmtop.hosts,1584551843000000000,3
kvmtop.hosts,1584551844000000000,2
kvmtop.hosts,1584551846000000000,3
kvmtop.hosts,1584551847000000000,3
kvmtop.hosts,1584551849000000000,3
kvmtop.hosts,1584551851000000000,3
kvmtop.hosts,1584551853000000000,2
kvmtop.hosts,1584551854000000000,3
kvmtop.hosts,1584551856000000000,3
kvmtop.hosts,1584551857000000000,3
kvmtop.hosts,1584551859000000000,3
kvmtop.hosts,1584551860000000000,3
kvmtop.hosts,1584551862000000000,4
kvmtop.hosts,1584551863000000000,3
kvmtop.hosts,1584551864000000000,4
kvmtop.hosts,1584551866000000000,3
kvmtop.hosts,1584551867000000000,4
kvmtop.hosts,1584551868000000000,3
kvmtop.hosts,1584551870000000000,4
kvmtop.hosts,1584551871000000000,4
kvmtop.hosts,1584551873000000000,4
kvmtop.hosts,1584551874000000000,3
kvmtop.hosts,1584551875000000000,4
kvmtop.hosts,1584551877000000000,3
kvmtop.hosts,1584551878000000000,3
kvmtop.hosts,1584551879000000000,3
kvmtop.hosts,1584551880000000000,3
kvmtop.hosts,1584551882000000000,3
kvmtop.hosts,1584551883000000000,3
kvmtop.hosts,1584551886000000000,3
kvmtop.hosts,1584551887000000000,3
kvmtop.hosts,1584551888000000000,3
kvmtop.hosts,1584551890000000000,3
kvmtop.hosts,1584551891000000000,3
kvmtop.hosts,1584551892000000000,3
kvmtop.hosts,1584551895000000000,3
