SELECT sum("mean_disk_device_queuesize")  AS "host_disk_queuesize" FROM ( SELECT mean("disk_device_queuesize") AS "mean_disk_device_queuesize" FROM "kvmtop"."autogen"."kvmtop.hosts" WHERE time >= 1584540074s AND time <= 1584540144s GROUP BY time(1s), "host_name" FILL(none) ) GROUP BY time(1s) FILL(none)
name,time,host_disk_queuesize
kvmtop.hosts,1584540074000000000,0
kvmtop.hosts,1584540075000000000,0
kvmtop.hosts,1584540076000000000,0
kvmtop.hosts,1584540077000000000,0
kvmtop.hosts,1584540078000000000,0
kvmtop.hosts,1584540079000000000,0
kvmtop.hosts,1584540080000000000,2
kvmtop.hosts,1584540082000000000,4
kvmtop.hosts,1584540084000000000,5
kvmtop.hosts,1584540086000000000,4
kvmtop.hosts,1584540088000000000,4
kvmtop.hosts,1584540091000000000,5
kvmtop.hosts,1584540092000000000,5
kvmtop.hosts,1584540093000000000,5
kvmtop.hosts,1584540096000000000,5
kvmtop.hosts,1584540098000000000,4
kvmtop.hosts,1584540099000000000,4
kvmtop.hosts,1584540101000000000,4
kvmtop.hosts,1584540104000000000,4
kvmtop.hosts,1584540105000000000,5
kvmtop.hosts,1584540106000000000,5
kvmtop.hosts,1584540107000000000,5
kvmtop.hosts,1584540109000000000,4
kvmtop.hosts,1584540111000000000,5
kvmtop.hosts,1584540112000000000,4
kvmtop.hosts,1584540114000000000,8
kvmtop.hosts,1584540116000000000,5
kvmtop.hosts,1584540118000000000,4
kvmtop.hosts,1584540120000000000,5
kvmtop.hosts,1584540122000000000,4
kvmtop.hosts,1584540123000000000,4
kvmtop.hosts,1584540124000000000,4
kvmtop.hosts,1584540125000000000,4
kvmtop.hosts,1584540127000000000,4
kvmtop.hosts,1584540128000000000,4
kvmtop.hosts,1584540129000000000,4
kvmtop.hosts,1584540130000000000,5
kvmtop.hosts,1584540132000000000,4
kvmtop.hosts,1584540134000000000,4
kvmtop.hosts,1584540136000000000,4
kvmtop.hosts,1584540138000000000,4
kvmtop.hosts,1584540140000000000,2
kvmtop.hosts,1584540141000000000,1
kvmtop.hosts,1584540143000000000,2
